"recording_givid";"survery";"classif";"classif_type";"classif_key";"classif_description";"cover"
"IV2017020211023566";"N2000meetnet_Grasland";"sz";"BWK";"Ecotoop2001";"struweelopslag van allerlei aard ";"10"
"IV2017021311505729";"N2000meetnet_Grasland";"sz";"BWK";"Ecotoop2001";"struweelopslag van allerlei aard ";"10"
"IV2017021316192193";"N2000meetnet_Grasland";"sz";"BWK";"Ecotoop2001";"struweelopslag van allerlei aard ";"20"
"IV2017022015155634";"N2000meetnet_Grasland";"sz";"BWK";"Ecotoop2001";"struweelopslag van allerlei aard ";"40"
"IV2017021018002273";"N2000meetnet_Grasland";"uv";"BWK";"Ecotoop2001";"terrein met recreatie-infrastructuur (b.v. chalets, sportvelden)";"5"
"IV2017021313300649";"N2000meetnet_Grasland";"va";"BWK";"Ecotoop2001";"alluviaal essen-olmenbos";NA
"IV2017021413520341";"N2000meetnet_Grasland";"va";"BWK";"Ecotoop2001";"alluviaal essen-olmenbos";"20"
"IV2017021017175886";"N2000meetnet_Grasland";"vm";"BWK";"Ecotoop2001";"mesotroof elzenbos met zeggen";"20"
"IV2017021310384624";"N2000meetnet_Grasland";"vm";"BWK";"Ecotoop2001";"mesotroof elzenbos met zeggen";NA
"IV2017020914013322";"N2000meetnet_Grasland";"wat";"BWK";"Ecotoop2001";"waterloop";"15"
"IV2017020915002276";"N2000meetnet_Grasland";"wat";"BWK";"Ecotoop2001";"waterloop";"30"
"IV2017010616530182";"N2000meetnet_Grasland";"weg";"BWK";"Ecotoop2001";"weg";"20"
"IV2017011212263384";"N2000meetnet_Grasland";"weg";"BWK";"Ecotoop2001";"weg";"20"
"IV2017011813083530";"N2000meetnet_Grasland";"weg";"BWK";"Ecotoop2001";"weg";"10"
"IV2017011814163232";"N2000meetnet_Grasland";"weg";"BWK";"Ecotoop2001";"weg";"20"
"IV2017021011171644";"N2000meetnet_Grasland";"weg";"BWK";"Ecotoop2001";"weg";"5"
"IV2017021416262329";"N2000meetnet_Grasland";"weg";"BWK";"Ecotoop2001";"weg";"10"
"IV2017010612172361";"N2000meetnet_Grasland";"rbbah";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017010617095027";"N2000meetnet_Grasland";"rbbah";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017010617282387";"N2000meetnet_Grasland";"rbbah";"N2k";"Habitatsleutel v5";NA;"5"
"IV2017011215545335";"N2000meetnet_Grasland";"rbbah";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017010618124978";"N2000meetnet_Grasland";"rbbah";"N2k";"Habitatsleutel v5";NA;"15"
"IV2017010618292802";"N2000meetnet_Grasland";"rbbah";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017010613314127";"N2000meetnet_Grasland";"rbbah";"N2k";"Habitatsleutel v5";NA;"37"
"IV2017012716313882";"N2000meetnet_Grasland";"rbbsf";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017020914013322";"N2000meetnet_Grasland";"3260";"N2k";"Habitatsleutel v5";NA;"15"
"IV2017020915002276";"N2000meetnet_Grasland";"3260";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017020815060283";"N2000meetnet_Grasland";"rbbsp";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017020911173410";"N2000meetnet_Grasland";"rbbsp";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017021414213854";"N2000meetnet_Grasland";"rbbsp";"N2k";"Habitatsleutel v5";NA;"15"
"IV2017010610523940";"N2000meetnet_Grasland";"rbbkam";"N2k";"Habitatsleutel v5";NA;"7"
"IV2017010612172361";"N2000meetnet_Grasland";"rbbkam";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017010617430082";"N2000meetnet_Grasland";"rbbkam";"N2k";"Habitatsleutel v5";NA;"5"
"IV2017011212535658";"N2000meetnet_Grasland";"rbbkam";"N2k";"Habitatsleutel v5";NA;"15"
"IV2017010609200485";"N2000meetnet_Grasland";"rbbkam";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017020911173410";"N2000meetnet_Grasland";"rbbkam";"N2k";"Habitatsleutel v5";NA;"38"
"IV2017010910225147";"N2000meetnet_Grasland";"rbbms";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017010910241756";"N2000meetnet_Grasland";"rbbms";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012709434540";"N2000meetnet_Grasland";"rbbms";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017021314354987";"N2000meetnet_Grasland";"rbbms";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017020116071546";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"5"
"IV2017020120160542";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017020312255416";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017020313004098";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021317143301";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021521415567";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017022414402631";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017022415170190";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017022415353736";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021521571275";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017022009530029";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017022010250767";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017022413245704";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"80"
"IV2017022413445592";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017022414255992";"N2000meetnet_Grasland";"6410";"N2k";"Habitatsleutel v5";NA;"60"
"IV2017021017175886";"N2000meetnet_Grasland";"91E0_meso";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017021310384624";"N2000meetnet_Grasland";"91E0_meso";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017010611111454";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017010613221989";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011312251730";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017011813083530";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017011813535331";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011916524752";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017021012213856";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"98"
"IV2017021012413096";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021414213854";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017021414350820";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012521020429";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012613411763";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012613530004";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017013011553027";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017013015545827";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017013016040477";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017020120160542";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017012522043706";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017012522232265";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012611170830";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012611360478";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012613001528";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012613170767";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012013585970";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012015481765";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012016215306";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012312301685";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012312531726";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012521104081";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011919322195";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012012273378";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012012433410";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012013020416";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012013095674";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012013475483";"N2000meetnet_Grasland";"6230_ha";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010510420097";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010511152189";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010511460749";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010512181008";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010616490548";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017010617551993";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021414444810";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017021510114273";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021511162976";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017022013575286";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017022014150360";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017013110020007";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017020111393906";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017020116071546";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017020121010797";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017020121221303";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017020212290721";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017013011553027";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017013012265239";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017013013060304";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017013013143717";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017013013460448";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017013015085454";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012017101191";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017012017312649";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012712420281";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017012713022515";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"75"
"IV2017013011050597";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017013011141972";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011814163232";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"80"
"IV2017011816230130";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011816484258";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017011817212208";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017012010235498";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"47"
"IV2017012011231757";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010910225147";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"60"
"IV2017010910241756";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017011212263384";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017011215122813";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011312251730";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017011812094287";"N2000meetnet_Grasland";"6230_hn";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021314354987";"N2000meetnet_Grasland";"4010";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017010612172361";"N2000meetnet_Grasland";"rbbzil";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017010616345212";"N2000meetnet_Grasland";"rbbzil";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017010617095027";"N2000meetnet_Grasland";"rbbzil";"N2k";"Habitatsleutel v5";NA;"15"
"IV2017011215162577";"N2000meetnet_Grasland";"rbbzil";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017021009391220";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017021316470293";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017022012400428";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017022310474384";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017022316243012";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017022413245704";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017022414255992";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017022415170190";"N2000meetnet_Grasland";"6510_hu";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017010611111454";"N2000meetnet_Grasland";"4030";"N2k";"Habitatsleutel v5";NA;"5"
"IV2017010616490548";"N2000meetnet_Grasland";"4030";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017011212263384";"N2000meetnet_Grasland";"4030";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017011816484258";"N2000meetnet_Grasland";"4030";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017011817212208";"N2000meetnet_Grasland";"4030";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017013011050597";"N2000meetnet_Grasland";"4030";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017013013460448";"N2000meetnet_Grasland";"4030";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017010911112595";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017010911343112";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011816484258";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017011817212208";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017011915010675";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"90"
"IV2017011916185487";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021417070556";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021417294457";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021414444810";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"90"
"IV2017021415171476";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021415415208";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021415590760";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021416262329";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017021416585251";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017020211023566";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017020211373000";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021314354987";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017021315595672";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017021316192193";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"80"
"IV2017021316354132";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012713261758";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"75"
"IV2017012714021766";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012714260737";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"90"
"IV2017012715091042";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017020121010797";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017020121221303";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012709211647";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012709294069";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012709434540";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"35"
"IV2017012710254898";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012711292443";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012711431363";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012016374726";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012016550624";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012615432844";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"96"
"IV2017012620054742";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017012620463014";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"90"
"IV2017012620573892";"N2000meetnet_Grasland";"6230_hmo";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010611111454";"N2000meetnet_Grasland";"3130";"N2k";"Habitatsleutel v5";NA;"25"
"IV2017020914013322";"N2000meetnet_Grasland";"6430";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017020915002276";"N2000meetnet_Grasland";"6430";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017021310384624";"N2000meetnet_Grasland";"rbbso";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017010616530182";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017010911112595";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017010616490548";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017011212263384";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017011813083530";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017022415170190";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017120117561385";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017120118342938";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017022112283578";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"5"
"IV2017022115074420";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"22"
"IV2017022211082902";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"26"
"IV2017022212325377";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"13"
"IV2017021416262329";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"90"
"IV2017021521415567";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017021716013587";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017022009530029";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017022012400428";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"25"
"IV2017022015155634";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017021311505729";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017021314354987";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017021316192193";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017021414213854";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"35"
"IV2017021415534916";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017020914013322";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"25"
"IV2017020915002276";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017021009391220";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"25"
"IV2017021011171644";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017021012213856";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"2"
"IV2017021018002273";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012709434540";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"40"
"IV2017012712420281";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017013015545827";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017020116071546";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"5"
"IV2017020211023566";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017020211533870";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012521020429";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012522043706";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"90"
"IV2017012611170830";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012613001528";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012613411763";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012620463014";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017011814163232";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"20"
"IV2017011915010675";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"10"
"IV2017011916524752";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017012010235498";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"53"
"IV2017012312301685";"N2000meetnet_Grasland";"-9";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017022012400428";"N2000meetnet_Grasland";"6230_hnk";"N2k";"Habitatsleutel v5";NA;"15"
"IV2017010609200485";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"60"
"IV2017010609352959";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010610523940";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"93"
"IV2017010612064228";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017010612172361";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017010612593713";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011215545335";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"30"
"IV2017011216070022";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011212535658";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017011214394174";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"50"
"IV2017011215162577";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"70"
"IV2017011215184680";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011215302636";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"100"
"IV2017011215475751";"N2000meetnet_Grasland";"1330_hpr";"N2k";"Habitatsleutel v5";NA;"100"
